kl_host,kl_first_seen,kl_popularity,kl_threat
businessnames86.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames81.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames76.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames74.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames67.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames64.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames58.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames59.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames52.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames38.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames36.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames35.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
patriciodemario.com.ar,21.07.2014 07:43,2,Trojan-Spy.Win32.Zbot
businessnames75.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames65.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames66.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames55.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames54.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames53.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames20.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames17.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames90.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
fotosefestas.com.br,16.11.2013 11:27,2,CnC.Win32.Generic
businessnames63.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
193.201.224.233,18.10.2018 18:09,2,Trojan-DDoS.Linux.Agent
s-k.kiev.ua,10.10.2014 05:02,2,Trojan-Spy.Win32.Zbot
163.172.165.4,26.02.2019 01:57,2,Trojan-PSW.Win32.Coins
163.172.165.119,24.10.2018 20:11,2,Trojan-PSW.Win32.Coins
semeandoluz.com.br,10.06.2014 08:35,2,Trojan-Spy.Win32.Zbot
45.33.120.75,01.06.2018 10:46,2,CnC.Win32.Generic
45.33.0.123,01.06.2018 10:40,2,CnC.Win32.Generic
juvesa.com.br,14.08.2018 00:33,2,Worm.VBS.Dinihou
92.63.197.59,16.03.2018 18:54,2,Trojan-Banker.Win32.NeutrinoPOS
degobu3.000webhostapp.com,12.05.2019 08:15,2,Backdoor.MSIL.Bladabindi
107.175.38.101,06.08.2017 18:32,2,Backdoor.MSIL.Bladabindi
nblandscapers.com.au,26.06.2015 18:07,2,Trojan-Ransom.Win32.Cryptodef
sfpanda.com.ar,07.05.2013 12:09,2,Trojan-Spy.Win32.Zbot
fullcase.com.br,17.09.2014 04:56,2,Trojan-Spy.Win32.Zbot
bigfish58.mine.nu,15.10.2018 07:46,2,Backdoor.Win32.Poison
c2klogistics.com.ph,23.01.2013 12:59,2,CnC.Win32.Generic
derlon.com.br,17.04.2014 08:25,2,CnC.Win32.Generic
kleaners.co.uk,12.08.2014 10:52,2,Trojan-Spy.Win32.Zbot
businessnames18.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames91.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
45.79.177.230,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.180.126,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.222.163,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.172.142,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.179.161,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.77.161,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.151.241,01.06.2018 10:46,2,CnC.Win32.Generic
45.33.125.188,01.06.2018 10:46,2,CnC.Win32.Generic
45.33.0.176,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.171.160,01.06.2018 10:46,2,CnC.Win32.Generic
45.79.146.48,01.06.2018 10:46,2,CnC.Win32.Generic
costanetocontabil.com.br,20.11.2013 12:37,2,CnC.Win32.Generic
eltriunfo.com.mx,11.07.2013 13:29,2,Trojan-Spy.Win32.Zbot
businessnames78.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames77.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames57.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
mcmusinagem.com.br,29.07.2015 22:45,2,Trojan-Spy.Win32.Zbot
engeforpavimentacao.com.br,03.02.2014 19:21,2,CnC.Win32.Generic
lcit.org.uk,22.06.2015 09:10,2,Trojan-Spy.Win32.Zbot
62.141.94.107,23.08.2018 11:04,2,Trojan-Banker.Win32.Trickster
policomp.com.br,18.11.2014 06:47,2,Trojan-Spy.Win32.Zbot
ce47086.tmweb.ru,13.02.2019 12:56,2,Trojan-Spy.Win32.Stealer
oil.duncan-plumbing.com,22.05.2019 21:19,2,Trojan-Downloader.Script.SLoad
west.prodigyprinting.com,23.04.2019 21:51,2,Trojan-Downloader.Script.SLoad
51.15.229.115,15.03.2019 11:13,2,Trojan-PSW.Win32.Kpot
85.143.218.50,01.04.2019 20:57,2,Trojan-Banker.Win32.Trickster
85.143.217.32,05.01.2019 09:18,2,Trojan-Banker.Win32.Trickster
85.143.220.14,26.11.2018 08:49,2,Trojan-Banker.Win32.Trickster
ldesing.com.br,09.09.2014 08:26,2,Trojan-Spy.MSIL.Banker
cerel.com.br,28.04.2015 18:41,2,Trojan-Spy.Win32.Zbot
datinet.co.il,19.12.2013 16:45,2,Worm.VBS.Dinihou
plantationprofitplanner.com.au,29.01.2014 18:09,2,CnC.Win32.Generic
proxy.us.pl,13.12.2012 13:43,2,Trojan.Win32.IRCbot
nacionalengenharia.com.br,27.09.2012 04:55,2,Trojan-Spy.MSIL.Banker
37.1.208.100,08.03.2019 13:42,2,Backdoor.Win32.Remcos
travelscapes.co.in,07.01.2013 00:22,2,Trojan-Spy.Win32.Zbot
approvi.com.br,30.11.2014 03:33,2,Trojan-Spy.Win32.Zbot
77.220.64.57,27.11.2017 11:08,2,Trojan.Win32.Dovs
atik.co.il,11.09.2013 16:54,2,CnC.Win32.Generic
90.153.255.233,16.04.2019 06:46,2,Backdoor.Win32.Androm
condopro.com.br,02.02.2015 06:08,2,Trojan-Spy.Win32.Zbot
lazeez.co.in,23.06.2015 05:49,2,Trojan-Spy.Win32.Zbot
oriontronproject.site11.com,04.06.2019 22:13,2,Email-Worm.Win32.Runouce
registrofiscal.com.br,24.01.2019 01:26,2,Trojan-Downloader.Win32.Agent
alvoportas.com.br,01.11.2017 14:21,2,CnC.Win32.Generic
apprepairs.co.uk,13.11.2013 14:38,2,CnC.Win32.Generic
b.12thegamejuststarted10k12.com,10.06.2015 12:01,2,Trojan.Win32.Neurevt
111.90.150.78,23.02.2019 00:09,2,Trojan-Downloader.MSOffice.SLoad
104.243.42.18,08.09.2018 13:59,2,Trojan.Win32.Kovter
mtd.com.vn,28.04.2015 18:41,2,Trojan-Spy.Win32.Zbot
opencart.com.br,29.07.2014 11:21,2,Trojan-Spy.Win32.Zbot
actionlaser.com.au,10.11.2013 16:46,2,Trojan-Spy.Win32.Zbot
cynarasistemas.com.ar,14.05.2013 06:06,2,Trojan-Spy.Win32.Zbot
82.202.167.194,02.01.2019 15:56,2,Backdoor.MSIL.Bladabindi
gopina.com.br,17.04.2014 08:25,2,CnC.Win32.Generic
parafusosflecha.com.br,07.03.2014 12:13,2,CnC.Win32.Generic
89.223.89.122,21.05.2019 15:28,2,CnC.Win32.Generic
89.223.93.110,30.04.2019 10:31,2,Trojan-Banker.Win32.Trickster
89.223.93.12,02.03.2019 07:36,2,Trojan-Banker.Win32.Trickster
89.223.27.211,14.05.2019 11:58,2,Trojan-Banker.Win32.Trickster
ppgbma.ufscar.br,05.11.2014 06:38,2,Trojan.Win32.Generic
81.2.245.28,11.10.2017 11:41,2,CnC.Win32.Generic
atargs.com.br,21.01.2015 18:48,2,Trojan.Win32.Neurevt
185.143.221.14,21.12.2018 15:36,2,Trojan.MSOffice.SAgent
fazedordesite.com.br,20.05.2014 09:56,2,Trojan-Spy.Win32.Zbot
informationspecialties.altervista.org,06.05.2015 18:18,2,CnC.Win32.Generic
hearttoheart.com.sg,05.11.2013 08:25,2,Trojan-Spy.Win32.Zbot
217.107.219.50,14.05.2019 10:37,2,Trojan-Banker.Win32.Trickster
bugin.com.au,03.07.2014 01:50,2,Trojan-Spy.Win32.Zbot
dgglass.com.br,17.04.2014 08:25,2,CnC.Win32.Generic
217.107.34.241,14.05.2019 11:57,2,Trojan-Banker.Win32.Trickster
185.205.210.205,04.02.2019 16:27,2,Trojan.Multi.Powecod
bhuwant.com.np,02.08.2013 10:33,2,CnC.Win32.Generic
193.32.161.69,01.04.2019 16:19,2,Trojan-Downloader.Win32.Deyma
axenta.dynu.net,17.11.2018 20:46,2,Trojan.MSIL.Disfa
mastercarpr.com.br,08.01.2015 21:22,2,Trojan.Win32.Generic
host.pdns.cz,24.10.2017 09:52,2,Backdoor.Win32.Mokes
cdn.labzires.info,01.11.2018 13:59,2,Trojan.AndroidOS.Boogr
115.85.76.94,21.12.2018 08:39,2,Trojan-Banker.Win32.Trickster
kinggeorge.co.il,22.11.2013 10:26,2,CnC.Win32.Generic
manaphirdavat.com.tr,13.05.2014 10:21,2,Trojan-Spy.Win32.Zbot
southsideairconditioning.com.au,17.03.2014 22:15,2,CnC.Win32.Generic
gerbosport.com.ar,09.08.2013 12:35,2,CnC.Win32.Generic
ezequielambrosio.com.br,13.10.2014 10:50,2,Trojan-Spy.Win32.Zbot
bc.confhz.space,29.05.2019 00:41,2,Trojan.AndroidOS.Agent
