kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
1.53.17.110,74,spam,28.10.2016 15:50,1
1.55.223.218,74,spam,19.07.2016 07:00,1
1.55.198.47,74,spam,29.06.2016 15:00,1
1.55.219.185,74,spam,24.08.2016 15:00,1
1.53.198.152,74,spam,10.04.2020 22:00,1
1.55.120.78,74,spam,16.03.2020 13:50,1
1.46.231.149,74,spam,01.10.2018 06:45,1
1.162.105.209,74,spam,29.02.2020 02:00,1
1.160.162.110,74,spam,27.12.2019 09:50,1
1.160.164.46,74,spam,08.10.2019 02:10,1
1.53.199.213,74,spam,29.03.2020 10:00,1
1.33.169.71,74,spam,10.03.2020 22:00,1
1.162.109.153,74,spam,18.08.2019 02:20,1
1.53.197.165,74,spam,10.08.2016 19:00,1
1.53.49.89,74,spam,07.04.2020 18:00,1
1.160.167.219,74,spam,17.01.2020 13:50,1
1.54.197.215,74,spam,10.11.2019 10:00,1
1.163.38.251,74,spam,09.03.2020 01:50,1
1.55.47.198,74,spam,29.08.2016 13:30,1
1.52.51.54,74,spam,11.03.2020 09:50,1
1.162.107.46,74,spam,11.03.2020 06:00,1
1.54.213.198,74,spam,04.12.2016 06:40,1
1.55.51.200,74,spam,31.03.2020 18:00,1
1.164.173.131,74,spam,31.12.2019 01:50,1
1.54.192.253,74,spam,19.08.2016 15:00,1
1.53.39.32,74,spam,17.03.2020 10:10,1
1.163.32.217,74,spam,16.01.2020 05:50,1
1.55.117.229,74,spam,11.09.2016 14:30,1
1.53.249.235,74,spam,12.04.2020 06:00,1
1.53.196.149,74,spam,08.04.2020 17:50,1
1.54.192.95,74,spam,11.02.2017 19:30,1
1.53.150.208,74,spam,12.11.2016 02:40,1
1.164.169.160,74,spam,03.02.2020 02:10,1
1.162.110.183,74,spam,13.12.2019 06:00,1
1.52.197.54,74,spam,30.03.2020 05:50,1
1.55.207.198,74,spam,11.04.2020 22:00,1
1.163.36.234,74,spam,06.03.2020 09:50,1
1.47.5.23,74,spam,29.10.2017 15:00,1
1.52.206.27,74,spam,01.10.2019 18:10,1
1.47.14.164,74,spam,14.10.2018 01:40,1
1.55.197.49,74,spam,10.10.2016 11:41,1
1.52.213.229,74,spam,26.03.2020 13:50,1
1.53.7.73,74,spam,04.04.2020 05:50,1
1.55.71.115,74,spam,10.04.2020 09:50,1
1.55.109.229,74,spam,24.12.2019 06:30,1
1.47.71.34,74,spam,01.11.2018 01:40,1
1.54.210.163,74,spam,04.12.2016 10:40,1
1.35.177.100,74,spam,12.04.2020 09:50,1
1.35.178.93,74,spam,12.04.2020 09:50,1
1.53.148.26,74,spam,12.04.2020 09:50,1
1.52.61.173,74,spam,12.04.2020 09:50,1
1.162.126.154,74,spam,12.04.2020 09:50,1
1.163.32.114,74,spam,16.03.2020 18:00,1
1.55.239.88,74,spam,12.11.2019 22:00,1
1.162.100.50,74,spam,09.11.2019 01:50,1
1.53.89.199,74,spam,01.11.2019 10:00,1
